accession	target	treatment	input
01-AR-Vehicle-1-A1_S1_R1_001	AR	Veh	19-INPUT-G1_S19_R1_001
02-AR-Vehicle-2-A2_S2_R1_001	AR	Veh	19-INPUT-G1_S19_R1_001
03-AR-Vehicle-3-A3_S3_R1_001	AR	Veh	19-INPUT-G1_S19_R1_001
04-AR-DHT-1-B1_S4_R1_001	AR	DHT	19-INPUT-G1_S19_R1_001
05-AR-DHT-2-B2_S5_R1_001	AR	DHT	19-INPUT-G1_S19_R1_001
06-AR-DHT-3-B3_S6_R1_001	AR	DHT	19-INPUT-G1_S19_R1_001
07-GATA3-Vehicle-1-C1_S7_R1_001	GATA3	Veh	19-INPUT-G1_S19_R1_001
08-GATA3-Vehicle-2-C2_S8_R1_001	GATA3	Veh	19-INPUT-G1_S19_R1_001
09-GATA3-Vehicle-3-C3_S9_R1_001	GATA3	Veh	19-INPUT-G1_S19_R1_001
10-GATA3-DHT-1-D1_S10_R1_001	GATA3	DHT	19-INPUT-G1_S19_R1_001
11-GATA3-DHT-2-D2_S11_R1_001	GATA3	DHT	19-INPUT-G1_S19_R1_001
12-GATA3-DHT-3-D3_S12_R1_001	GATA3	DHT	19-INPUT-G1_S19_R1_001
13-H3K27Ac-Vehicle-1-E1_S13_R1_001	H3K27ac	Veh	19-INPUT-G1_S19_R1_001
14-H3K27Ac-Vehicle-2-E2_S14_R1_001	H3K27ac	Veh	19-INPUT-G1_S19_R1_001
15-H3K27Ac-Vehicle-3-E3_S15_R1_001	H3K27ac	Veh	19-INPUT-G1_S19_R1_001
16-H3K27Ac-DHT-1-F1_S16_R1_001	H3K27ac	DHT	19-INPUT-G1_S19_R1_001
17-H3K27Ac-DHT-2-F2_S17_R1_001	H3K27ac	DHT	19-INPUT-G1_S19_R1_001
18-H3K27Ac-DHT-3-F3_S18_R1_001	H3K27ac	DHT	19-INPUT-G1_S19_R1_001
